config,split_seed,init_seed,fold,best_epoch,best_val_bacc,best_val_loss,F1,D,F2,temporal_kernel,separable_kernel,pool1,pool2,total_pool,agg,meanmax_alpha,lr,weight_decay,dropout,standardize,class_weights,chance_bacc,majority_class,majority_test_bacc,majority_test_acc,majority_test_macro_f1,train_bacc,train_acc,train_macro_f1,val_bacc,val_acc,val_macro_f1,test_bacc,test_acc,test_macro_f1,test_loss,test_bacc_minus_chance,test_bacc_minus_majority,test_acc_minus_majority,test_macro_f1_minus_majority,test_gt_chance,test_gt_majority_bacc,train_pred_counts,val_pred_counts,test_pred_counts,test_target_counts,test_confusion_matrix,history_path,predictions_path,checkpoint_path
eegnet_small_t600_meanmax050,3407,3407,1,5,0.6666666666666666,1.0842747688293457,8,2,16,63,15,8,8,64,meanmax,0.5,0.0001,0.0001,0.5,True,"[1.047619104385376, 1.047619104385376, 0.9166666865348816]",0.3333333333333333,2,0.3333333333333333,0.375,0.1818181818181818,0.38690476190476186,0.4090909090909091,0.29777777777777775,0.6666666666666666,0.6666666666666666,0.5833333333333334,0.4444444444444444,0.5,0.41269841269841273,1.1100175380706787,0.1111111111111111,0.1111111111111111,0.125,0.23088023088023094,1,1,"{""2"": 17, ""1"": 5}","{""2"": 5, ""1"": 1}","{""2"": 4, ""1"": 3, ""0"": 1}","{""2"": 3, ""1"": 3, ""0"": 2}","[[0, 0, 2], [1, 2, 0], [0, 1, 2]]",outputs\eeg_ct\baseline_official_eegnet___\eegnet_small_t600_meanmax050\splitseed_3407\initseed_3407\fold_1\history.csv,outputs\eeg_ct\baseline_official_eegnet___\eegnet_small_t600_meanmax050\splitseed_3407\initseed_3407\fold_1\predictions.csv,
eegnet_small_t600_meanmax050,3407,1234,1,1,0.3333333333333333,1.153013030687968,8,2,16,63,15,8,8,64,meanmax,0.5,0.0001,0.0001,0.5,True,"[1.047619104385376, 1.047619104385376, 0.9166666865348816]",0.3333333333333333,2,0.3333333333333333,0.375,0.1818181818181818,0.3333333333333333,0.3181818181818182,0.16666666666666666,0.3333333333333333,0.16666666666666666,0.09523809523809523,0.3333333333333333,0.375,0.19999999999999998,1.0987468957901,0.0,0.0,0.0,0.018181818181818188,0,0,"{""1"": 21, ""2"": 1}","{""1"": 6}","{""1"": 7, ""2"": 1}","{""2"": 3, ""1"": 3, ""0"": 2}","[[0, 1, 1], [0, 3, 0], [0, 3, 0]]",outputs\eeg_ct\baseline_official_eegnet___\eegnet_small_t600_meanmax050\splitseed_3407\initseed_1234\fold_1\history.csv,outputs\eeg_ct\baseline_official_eegnet___\eegnet_small_t600_meanmax050\splitseed_3407\initseed_1234\fold_1\predictions.csv,
eegnet_small_t600_meanmax050,3407,2025,1,1,0.3333333333333333,1.1198796431223552,8,2,16,63,15,8,8,64,meanmax,0.5,0.0001,0.0001,0.5,True,"[1.047619104385376, 1.047619104385376, 0.9166666865348816]",0.3333333333333333,2,0.3333333333333333,0.375,0.1818181818181818,0.5059523809523809,0.5,0.4388888888888889,0.3333333333333333,0.16666666666666666,0.1111111111111111,0.5555555555555555,0.625,0.5079365079365079,1.093146026134491,0.22222222222222215,0.22222222222222215,0.25,0.32611832611832614,1,1,"{""0"": 1, ""1"": 14, ""2"": 7}","{""1"": 5, ""0"": 1}","{""2"": 3, ""1"": 4, ""0"": 1}","{""2"": 3, ""1"": 3, ""0"": 2}","[[0, 1, 1], [0, 3, 0], [1, 0, 2]]",outputs\eeg_ct\baseline_official_eegnet___\eegnet_small_t600_meanmax050\splitseed_3407\initseed_2025\fold_1\history.csv,outputs\eeg_ct\baseline_official_eegnet___\eegnet_small_t600_meanmax050\splitseed_3407\initseed_2025\fold_1\predictions.csv,
eegnet_small_t600_meanmax050,3407,3407,2,2,0.5,1.1062809626261394,8,2,16,63,15,8,8,64,meanmax,0.5,0.0001,0.0001,0.5,True,"[1.2777777910232544, 1.0952380895614624, 0.7666666507720947]",0.3333333333333333,2,0.3333333333333333,0.2857142857142857,0.14814814814814814,0.3857142857142857,0.391304347826087,0.3,0.5,0.5,0.38888888888888884,0.5,0.42857142857142855,0.35714285714285715,1.1222659519740514,0.16666666666666669,0.16666666666666669,0.14285714285714285,0.208994708994709,1,1,"{""1"": 17, ""2"": 5, ""0"": 1}","{""1"": 4, ""2"": 2}","{""1"": 5, ""2"": 2}","{""1"": 2, ""0"": 3, ""2"": 2}","[[0, 2, 1], [0, 2, 0], [0, 1, 1]]",outputs\eeg_ct\baseline_official_eegnet___\eegnet_small_t600_meanmax050\splitseed_3407\initseed_3407\fold_2\history.csv,outputs\eeg_ct\baseline_official_eegnet___\eegnet_small_t600_meanmax050\splitseed_3407\initseed_3407\fold_2\predictions.csv,
eegnet_small_t600_meanmax050,3407,1234,2,1,0.3333333333333333,1.1070066293080647,8,2,16,63,15,8,8,64,meanmax,0.5,0.0001,0.0001,0.5,True,"[1.2777777910232544, 1.0952380895614624, 0.7666666507720947]",0.3333333333333333,2,0.3333333333333333,0.2857142857142857,0.14814814814814814,0.3333333333333333,0.30434782608695654,0.15555555555555556,0.3333333333333333,0.3333333333333333,0.19047619047619047,0.3333333333333333,0.2857142857142857,0.16666666666666666,1.114309855869838,0.0,0.0,0.0,0.018518518518518517,0,0,"{""1"": 23}","{""1"": 5, ""2"": 1}","{""1"": 6, ""2"": 1}","{""1"": 2, ""0"": 3, ""2"": 2}","[[0, 2, 1], [0, 2, 0], [0, 2, 0]]",outputs\eeg_ct\baseline_official_eegnet___\eegnet_small_t600_meanmax050\splitseed_3407\initseed_1234\fold_2\history.csv,outputs\eeg_ct\baseline_official_eegnet___\eegnet_small_t600_meanmax050\splitseed_3407\initseed_1234\fold_2\predictions.csv,
eegnet_small_t600_meanmax050,3407,2025,2,1,0.3333333333333333,1.1192495028177898,8,2,16,63,15,8,8,64,meanmax,0.5,0.0001,0.0001,0.5,True,"[1.2777777910232544, 1.0952380895614624, 0.7666666507720947]",0.3333333333333333,2,0.3333333333333333,0.2857142857142857,0.14814814814814814,0.5,0.5217391304347826,0.40819964349376114,0.3333333333333333,0.3333333333333333,0.2222222222222222,0.3333333333333333,0.2857142857142857,0.19047619047619047,1.1051897491727556,0.0,0.0,0.0,0.042328042328042326,0,0,"{""2"": 7, ""1"": 15, ""0"": 1}","{""1"": 4, ""2"": 1, ""0"": 1}","{""1"": 5, ""2"": 2}","{""1"": 2, ""0"": 3, ""2"": 2}","[[0, 1, 2], [0, 2, 0], [0, 2, 0]]",outputs\eeg_ct\baseline_official_eegnet___\eegnet_small_t600_meanmax050\splitseed_3407\initseed_2025\fold_2\history.csv,outputs\eeg_ct\baseline_official_eegnet___\eegnet_small_t600_meanmax050\splitseed_3407\initseed_2025\fold_2\predictions.csv,
eegnet_small_t600_meanmax050,3407,3407,3,4,0.5,1.091998815536499,8,2,16,63,15,8,8,64,meanmax,0.5,0.0001,0.0001,0.5,True,"[1.0952380895614624, 1.0952380895614624, 0.8518518805503845]",0.3333333333333333,2,0.3333333333333333,0.42857142857142855,0.19999999999999998,0.43915343915343913,0.4782608695652174,0.3717948717948718,0.5,0.5,0.38888888888888884,0.5555555555555555,0.5714285714285714,0.4444444444444444,1.0417333926473344,0.22222222222222215,0.22222222222222215,0.14285714285714285,0.24444444444444444,1,1,"{""2"": 17, ""1"": 5, ""0"": 1}","{""2"": 4, ""1"": 2}","{""1"": 4, ""2"": 3}","{""0"": 2, ""2"": 3, ""1"": 2}","[[0, 1, 1], [0, 2, 0], [0, 1, 2]]",outputs\eeg_ct\baseline_official_eegnet___\eegnet_small_t600_meanmax050\splitseed_3407\initseed_3407\fold_3\history.csv,outputs\eeg_ct\baseline_official_eegnet___\eegnet_small_t600_meanmax050\splitseed_3407\initseed_3407\fold_3\predictions.csv,
eegnet_small_t600_meanmax050,3407,1234,3,9,0.3333333333333333,1.0651633739471436,8,2,16,63,15,8,8,64,meanmax,0.5,0.0001,0.0001,0.5,True,"[1.0952380895614624, 1.0952380895614624, 0.8518518805503845]",0.3333333333333333,2,0.3333333333333333,0.42857142857142855,0.19999999999999998,0.35978835978835977,0.34782608695652173,0.2552380952380952,0.3333333333333333,0.3333333333333333,0.16666666666666666,0.4444444444444444,0.42857142857142855,0.3238095238095238,1.1361158405031477,0.1111111111111111,0.1111111111111111,0.0,0.12380952380952384,1,1,"{""1"": 18, ""2"": 5}","{""1"": 6}","{""1"": 5, ""2"": 2}","{""0"": 2, ""2"": 3, ""1"": 2}","[[0, 1, 1], [0, 2, 0], [0, 2, 1]]",outputs\eeg_ct\baseline_official_eegnet___\eegnet_small_t600_meanmax050\splitseed_3407\initseed_1234\fold_3\history.csv,outputs\eeg_ct\baseline_official_eegnet___\eegnet_small_t600_meanmax050\splitseed_3407\initseed_1234\fold_3\predictions.csv,
eegnet_small_t600_meanmax050,3407,2025,3,1,0.5,1.0968323548634846,8,2,16,63,15,8,8,64,meanmax,0.5,0.0001,0.0001,0.5,True,"[1.0952380895614624, 1.0952380895614624, 0.8518518805503845]",0.3333333333333333,2,0.3333333333333333,0.42857142857142855,0.19999999999999998,0.40740740740740744,0.391304347826087,0.2981366459627329,0.5,0.5,0.41269841269841273,0.7222222222222222,0.7142857142857143,0.7111111111111111,1.075161133493696,0.3888888888888889,0.3888888888888889,0.28571428571428575,0.5111111111111112,1,1,"{""2"": 5, ""1"": 16, ""0"": 2}","{""1"": 5, ""2"": 1}","{""2"": 3, ""1"": 3, ""0"": 1}","{""0"": 2, ""2"": 3, ""1"": 2}","[[1, 0, 1], [0, 2, 0], [0, 1, 2]]",outputs\eeg_ct\baseline_official_eegnet___\eegnet_small_t600_meanmax050\splitseed_3407\initseed_2025\fold_3\history.csv,outputs\eeg_ct\baseline_official_eegnet___\eegnet_small_t600_meanmax050\splitseed_3407\initseed_2025\fold_3\predictions.csv,
eegnet_small_t600_meanmax050,3407,3407,4,20,0.5,1.0847464005152385,8,2,16,63,15,8,8,64,meanmax,0.5,0.0001,0.0001,0.5,True,"[1.0952380895614624, 1.0952380895614624, 0.8518518805503845]",0.3333333333333333,2,0.3333333333333333,0.42857142857142855,0.19999999999999998,0.42857142857142855,0.4782608695652174,0.3550446998722861,0.5,0.5,0.41269841269841273,0.5,0.5714285714285714,0.47222222222222215,1.0908692564283098,0.16666666666666669,0.16666666666666669,0.14285714285714285,0.27222222222222214,1,1,"{""2"": 20, ""1"": 2, ""0"": 1}","{""1"": 1, ""2"": 5}","{""0"": 1, ""1"": 1, ""2"": 5}","{""0"": 2, ""1"": 2, ""2"": 3}","[[1, 1, 0], [0, 0, 2], [0, 0, 3]]",outputs\eeg_ct\baseline_official_eegnet___\eegnet_small_t600_meanmax050\splitseed_3407\initseed_3407\fold_4\history.csv,outputs\eeg_ct\baseline_official_eegnet___\eegnet_small_t600_meanmax050\splitseed_3407\initseed_3407\fold_4\predictions.csv,
eegnet_small_t600_meanmax050,3407,1234,4,30,0.5,1.0464071830113728,8,2,16,63,15,8,8,64,meanmax,0.5,0.0001,0.0001,0.5,True,"[1.0952380895614624, 1.0952380895614624, 0.8518518805503845]",0.3333333333333333,2,0.3333333333333333,0.42857142857142855,0.19999999999999998,0.40740740740740744,0.391304347826087,0.3451851851851852,0.5,0.5,0.41269841269841273,0.3333333333333333,0.2857142857142857,0.14814814814814814,1.1170488595962524,0.0,0.0,-0.14285714285714285,-0.05185185185185184,0,0,"{""1"": 18, ""2"": 3, ""0"": 2}","{""1"": 5, ""2"": 1}","{""1"": 7}","{""0"": 2, ""1"": 2, ""2"": 3}","[[0, 2, 0], [0, 2, 0], [0, 3, 0]]",outputs\eeg_ct\baseline_official_eegnet___\eegnet_small_t600_meanmax050\splitseed_3407\initseed_1234\fold_4\history.csv,outputs\eeg_ct\baseline_official_eegnet___\eegnet_small_t600_meanmax050\splitseed_3407\initseed_1234\fold_4\predictions.csv,
eegnet_small_t600_meanmax050,3407,2025,4,1,0.5,1.09809406598409,8,2,16,63,15,8,8,64,meanmax,0.5,0.0001,0.0001,0.5,True,"[1.0952380895614624, 1.0952380895614624, 0.8518518805503845]",0.3333333333333333,2,0.3333333333333333,0.42857142857142855,0.19999999999999998,0.4444444444444444,0.43478260869565216,0.336231884057971,0.5,0.5,0.43333333333333335,0.4444444444444444,0.42857142857142855,0.3238095238095238,1.09654700756073,0.1111111111111111,0.1111111111111111,0.0,0.12380952380952384,1,1,"{""1"": 16, ""2"": 6, ""0"": 1}","{""1"": 3, ""2"": 2, ""0"": 1}","{""2"": 2, ""1"": 5}","{""0"": 2, ""1"": 2, ""2"": 3}","[[0, 1, 1], [0, 2, 0], [0, 2, 1]]",outputs\eeg_ct\baseline_official_eegnet___\eegnet_small_t600_meanmax050\splitseed_3407\initseed_2025\fold_4\history.csv,outputs\eeg_ct\baseline_official_eegnet___\eegnet_small_t600_meanmax050\splitseed_3407\initseed_2025\fold_4\predictions.csv,
eegnet_small_t600_meanmax050,3407,3407,5,7,0.3333333333333333,1.0992457469304402,8,2,16,63,15,8,8,64,meanmax,0.5,0.0001,0.0001,0.5,True,"[1.0952380895614624, 1.0952380895614624, 0.8518518805503845]",0.3333333333333333,2,0.3333333333333333,0.42857142857142855,0.19999999999999998,0.42857142857142855,0.4782608695652174,0.34761904761904766,0.3333333333333333,0.3333333333333333,0.16666666666666666,0.5,0.5714285714285714,0.4444444444444444,1.0757063967841012,0.16666666666666669,0.16666666666666669,0.14285714285714285,0.24444444444444444,1,1,"{""2"": 19, ""1"": 3, ""0"": 1}","{""2"": 6}","{""2"": 6, ""1"": 1}","{""2"": 3, ""1"": 2, ""0"": 2}","[[0, 0, 2], [0, 1, 1], [0, 0, 3]]",outputs\eeg_ct\baseline_official_eegnet___\eegnet_small_t600_meanmax050\splitseed_3407\initseed_3407\fold_5\history.csv,outputs\eeg_ct\baseline_official_eegnet___\eegnet_small_t600_meanmax050\splitseed_3407\initseed_3407\fold_5\predictions.csv,
eegnet_small_t600_meanmax050,3407,1234,5,19,0.5,1.041535496711731,8,2,16,63,15,8,8,64,meanmax,0.5,0.0001,0.0001,0.5,True,"[1.0952380895614624, 1.0952380895614624, 0.8518518805503845]",0.3333333333333333,2,0.3333333333333333,0.42857142857142855,0.19999999999999998,0.35978835978835977,0.34782608695652173,0.2552380952380952,0.5,0.5,0.41269841269841273,0.3333333333333333,0.2857142857142857,0.14814814814814814,1.0738096066883631,0.0,0.0,-0.14285714285714285,-0.05185185185185184,0,0,"{""1"": 18, ""2"": 5}","{""2"": 1, ""1"": 5}","{""1"": 7}","{""2"": 3, ""1"": 2, ""0"": 2}","[[0, 2, 0], [0, 2, 0], [0, 3, 0]]",outputs\eeg_ct\baseline_official_eegnet___\eegnet_small_t600_meanmax050\splitseed_3407\initseed_1234\fold_5\history.csv,outputs\eeg_ct\baseline_official_eegnet___\eegnet_small_t600_meanmax050\splitseed_3407\initseed_1234\fold_5\predictions.csv,
eegnet_small_t600_meanmax050,3407,2025,5,1,0.5,1.0983255704243977,8,2,16,63,15,8,8,64,meanmax,0.5,0.0001,0.0001,0.5,True,"[1.0952380895614624, 1.0952380895614624, 0.8518518805503845]",0.3333333333333333,2,0.3333333333333333,0.42857142857142855,0.19999999999999998,0.5291005291005291,0.5217391304347826,0.46241830065359474,0.5,0.5,0.43333333333333335,0.3333333333333333,0.2857142857142857,0.16666666666666666,1.106904080935887,0.0,0.0,-0.14285714285714285,-0.033333333333333326,0,0,"{""1"": 14, ""2"": 8, ""0"": 1}","{""2"": 2, ""1"": 3, ""0"": 1}","{""1"": 6, ""0"": 1}","{""2"": 3, ""1"": 2, ""0"": 2}","[[0, 2, 0], [0, 2, 0], [1, 2, 0]]",outputs\eeg_ct\baseline_official_eegnet___\eegnet_small_t600_meanmax050\splitseed_3407\initseed_2025\fold_5\history.csv,outputs\eeg_ct\baseline_official_eegnet___\eegnet_small_t600_meanmax050\splitseed_3407\initseed_2025\fold_5\predictions.csv,
